no,method,path,status,latency_ms,snippet
21,GET,/advanced/etf/bitcoin,404,100,"{""ok"":false,""error"":""Not Found"",""code"":404,""path"":""/advanced/etf/bitcoin"",""method"":""GET"",""message"":""Cannot GET /advanced/etf/bitcoin"",""timestamp"":""2025-09-24T05:53:16.386Z""}"
22,GET,/py/advanced/market/sentiment,200,955,"[{""symbol"":""BTC"",""price"":112527.8,""change_24h"":-101.27502,""change_percentage_24h"":-0.09,""volume_24h"":68126192394.92825,""market_cap"":2240631392333.549,""dominance"":58.61,""timestamp"":""2025-09-24T05:53:17"
23,GET,/advanced/market/coins,404,78,"{""ok"":false,""error"":""Not Found"",""code"":404,""path"":""/advanced/market/coins"",""method"":""GET"",""message"":""Cannot GET /advanced/market/coins"",""timestamp"":""2025-09-24T05:53:17.423Z""}"
24,GET,/advanced/technical/atr,404,117,"{""ok"":false,""error"":""Not Found"",""code"":404,""path"":""/advanced/technical/atr"",""method"":""GET"",""message"":""Cannot GET /advanced/technical/atr"",""timestamp"":""2025-09-24T05:53:17.543Z""}"
25,GET,/advanced/ticker/SOL,404,77,"{""ok"":false,""error"":""Not Found"",""code"":404,""path"":""/advanced/ticker/SOL"",""method"":""GET"",""message"":""Cannot GET /advanced/ticker/SOL"",""timestamp"":""2025-09-24T05:53:17.625Z""}"
26,GET,/py/advanced/liquidation/heatmap/SOL,200,272,[]
27,GET,/py/advanced/spot/orderbook/SOL,503,127,"{""ok"":false,""error"":{""status"":""DATA_UNAVAILABLE"",""error"":""No fresh orderbook data available for SOL"",""max_age_seconds"":120,""exchange_tried"":[""binance"",""binance-fallback""],""timestamp"":""2025-09-24T05:53"
28,GET,/advanced/options/oi/SOL,404,113,"{""ok"":false,""error"":""Not Found"",""code"":404,""path"":""/advanced/options/oi/SOL"",""method"":""GET"",""message"":""Cannot GET /advanced/options/oi/SOL"",""timestamp"":""2025-09-24T05:53:18.138Z""}"
29,POST,/api/gpts/unified/advanced,404,96,"{""ok"":false,""error"":""Not Found"",""code"":404,""path"":""/api/gpts/unified/advanced"",""method"":""POST"",""message"":""Cannot POST /api/gpts/unified/advanced"",""timestamp"":""2025-09-24T05:53:24.111Z""}"
30,GET,/api/gpts/health,404,78,"{""ok"":false,""error"":""Not Found"",""code"":404,""path"":""/api/gpts/health"",""method"":""GET"",""message"":""Cannot GET /api/gpts/health"",""timestamp"":""2025-09-24T05:53:24.189Z""}"
31,GET,/gpts/unified/symbols,200,115,"{""success"":true,""data"":{""symbols"":[""BTC"",""ETH"",""SOL"",""ADA"",""AVAX"",""DOT"",""ATOM"",""NEAR"",""ALGO"",""FTM"",""LUNA"",""ONE"",""MATIC"",""ARB"",""OP"",""LRC"",""UNI"",""SUSHI"",""AAVE"",""COMP"",""MKR"",""SNX"",""CRV"",""1INCH"",""YFI"",""DO"
